
1|Crystal Palace Caravan and Motorhome Club Site|Caravan|51.425477|-0.072703|1|Old Cople Ln, Crystal Palace|SE19 1UF|London
2|North Lees Campsite|Camping|53.346170|-1.647628|2|Birley Ln, Hathersage, Hope Valley|S32 1DY|Sheffield
3|Chipping Norton Camping and Caravanning Club Site|Camping & Caravanning|51.917651|-1.542045|3|Chipping Norton Rd, Chadlington|OX7 3PE|Chipping Norton
4|Waterside House|Cottage|54.600313|-2.832672|4|Waterside House Campsite, Howtown|CA10 2NA|Penrith
5|Hoathwaite National Trust Campsite|Camping|54.345210|-3.084366|5|Near Torver, Little Arrow|LA21 8AX|Coniston
6|Cashel Campsite|Camping & Caravanning|56.112422|-4.582224|6|Cashel Campsite, Rowardennan|G63 0AW|Glasgow
7|name|type|long|lat|7|address|postcode|city
8|name|type|long|lat|8|address|postcode|city
9|name|type|long|lat|9|address|postcode|city
10|name|type|long|lat|10|address|postcode|city
id|name|type|long|lat|imageid|address|postcode|city
id|name|type|long|lat|imageid|address|postcode|city
id|name|type|long|lat|imageid|address|postcode|city
id|name|type|long|lat|imageid|address|postcode|city
id|name|type|long|lat|imageid|address|postcode|city
id|name|type|long|lat|imageid|address|postcode|city
id|name|type|long|lat|imageid|address|postcode|city
id|name|type|long|lat|imageid|address|postcode|city
